configuration,accuracy,bits,weight_ratio,activation_ratio,model_size_mb
Uniform 8-bit layer-wise,92.92,8,4.000,3.986,2.237
Uniform 6-bit layer-wise,74.01,6,5.331,5.308,1.678
Uniform 4-bit layer-wise,11.19,4,7.995,7.943,1.119
Uniform 8-bit channel-wise,93.02,8,3.881,3.986,2.305
Uniform 6-bit channel-wise,80.33,6,5.124,5.308,1.746
Mixed 6/8-bit layer-wise,92.06,8,5.294,3.986,1.690
Mixed 6/8-bit channel-wise,92.83,8,5.089,3.986,1.758
Mixed 4/6/8-bit layer-wise,85.55,8,5.344,3.986,1.674
Mixed 5/6/8-bit layer-wise,91.80,8,5.319,3.986,1.682
10% prune + mixed 5/6/8-bit,91.55,8,4.984,3.986,1.795
20% prune + mixed 5/6/8-bit,90.49,8,5.486,3.986,1.631
20% prune + mixed 5/6/8-bit + Huffman,90.49,8,6.812,3.986,1.313
30% prune + mixed 5/6/8-bit + Huffman,84.94,8,7.581,3.986,1.180
